  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.5965   0.00000  -0.00110  -0.0196   0.0000   0.0000
  -5.000  -0.4760   0.00000  -0.00109  -0.0210   0.0000   0.0000
  -4.000  -0.3554   0.00000  -0.00108  -0.0223   0.0000   0.0000
  -3.000  -0.2346   0.00000  -0.00107  -0.0237   0.0000   0.0000
  -2.000  -0.1138   0.00000  -0.00106  -0.0251   0.0000   0.0000
  -1.000   0.0070   0.00000  -0.00106  -0.0265   0.0000   0.0000
  -0.000   0.1279   0.00000  -0.00106  -0.0279   0.0000   0.0000
   1.000   0.2487   0.00000  -0.00106  -0.0293   0.0000   0.0000
   2.000   0.3694   0.00000  -0.00107  -0.0308   0.0000   0.0000
   3.000   0.4900   0.00000  -0.00107  -0.0322   0.0000   0.0000
   4.000   0.6105   0.00000  -0.00108  -0.0336   0.0000   0.0000
   5.000   0.7308   0.00000  -0.00110  -0.0351   0.0000   0.0000
   6.000   0.8509   0.00000  -0.00111  -0.0365   0.0000   0.0000
   7.000   0.9707   0.00000  -0.00113  -0.0379   0.0000   0.0000
   8.000   1.0902   0.00000  -0.00115  -0.0393   0.0000   0.0000
   9.000   1.2094   0.00000  -0.00118  -0.0408   0.0000   0.0000
  10.000   1.3282   0.00000  -0.00120  -0.0422   0.0000   0.0000
  11.000   1.4466   0.00000  -0.00123  -0.0436   0.0000   0.0000
  12.000   1.5645   0.00000  -0.00126  -0.0450   0.0000   0.0000
  13.000   1.6820   0.00000  -0.00129  -0.0463   0.0000   0.0000
  14.000   1.7990   0.00000  -0.00133  -0.0477   0.0000   0.0000
  15.000   1.9155   0.00000  -0.00136  -0.0490   0.0000   0.0000
  16.000   2.0313   0.00000  -0.00140  -0.0504   0.0000   0.0000
